id,date,value,x,y
123915,24/08/2017,786.0,47.3768866,8.541694
123912,24/08/2017,99.0,23.885942,45.079162
123916,23/08/2017,106.0,47.3876664,8.2554295
123593,22/08/2017,252.0,43.296482,5.36978
125946,21/08/2017,63.0,43.54705200000001,-1.313968
125948,20/08/2017,11463.0,37.9161636,-81.0975397
125950,20/08/2017,94.0,46.24998470000001,7.014266399999999
125951,20/08/2017,12.0,45.8932231,1.5696018
125952,20/08/2017,118.0,9.145000000000001,40.489673
125949,20/08/2017,53.0,45.8938773,7.187543700000001
125662,18/08/2017,894.0,40.46366700000001,-3.74922
125663,18/08/2017,2728.0,54.5259614,15.2551187
125671,17/08/2017,43.0,47.1661672,8.5154946
125672,17/08/2017,27.0,46.7701186,7.255747100000001
125673,16/08/2017,3548.0,46.1904614,7.5449226
125674,16/08/2017,292.0,46.4477679,6.4839772
125675,16/08/2017,5118.0,46.5196535,6.6322734
125676,16/08/2017,63.0,43.54705200000001,-1.313968
125677,16/08/2017,1573.0,35.86166,104.195397
125941,15/08/2017,6160.0,37.09024,-95.712891
125942,15/08/2017,133.0,40.339852,127.510093
125943,14/08/2017,6160.0,37.09024,-95.712891
125944,13/08/2017,11463.0,37.9161636,-81.0975397
123696,13/08/2017,63.0,43.54705200000001,-1.313968
123693,13/08/2017,1.0,49.475005,4.244583
123694,13/08/2017,682.0,46.331734,8.800452900000002
123697,12/08/2017,476.0,46.7784736,6.641183
124184,09/08/2017,1.0,30.2566628,-81.5899476
124680,08/08/2017,7823.0,46.5613135,6.536765
124681,07/08/2017,25.0,25.354826,51.183884
124682,06/08/2017,53.0,45.8938773,7.187543700000001
124683,06/08/2017,1156.0,46.9479739,7.4474468
125440,04/08/2017,328.0,42.6026359,20.902977
125442,04/08/2017,13.0,46.750499,2.176182
125443,04/08/2017,20.0,47.0581255,7.0730626
124370,02/08/2017,167.0,46.16699879999999,8.7942643
124371,02/08/2017,682.0,46.331734,8.800452900000002
124372,02/08/2017,2728.0,54.5259614,15.2551187
125445,02/08/2017,167.0,46.16699879999999,8.7942643
124450,31/07/2017,17603.0,46.227638,2.213749
124449,31/07/2017,133.0,15.552727,48.516388
124374,31/07/2017,17603.0,46.227638,2.213749
124451,30/07/2017,11463.0,37.9161636,-81.0975397
124457,30/07/2017,8880.0,46.2043907,6.1431577
124452,30/07/2017,53.0,45.8938773,7.187543700000001
124453,30/07/2017,7823.0,46.5613135,6.536765
124455,30/07/2017,15.0,18.220833,-66.590149
124777,29/07/2017,2716.0,46.2180073,6.121692500000001
124782,28/07/2017,2546.0,46.9751954,6.771554999999999
124780,28/07/2017,3.0,45.9792839,7.3536334
124779,28/07/2017,40.0,46.07173,7.22404
125452,27/07/2017,2.0,47.2902794,7.715873599999999
125447,27/07/2017,3548.0,46.1904614,7.5449226
124785,27/07/2017,182.0,46.4691576,-72.53060649999999
124784,27/07/2017,3.0,46.252017,7.1104983
125459,26/07/2017,7823.0,46.5613135,6.536765
125462,26/07/2017,875.0,36.204824,138.252924
125461,26/07/2017,279.0,46.65698709999999,9.578025700000001
125454,26/07/2017,139.0,46.2521873,6.9469598
125453,26/07/2017,21.0,46.2778331,7.0675893
125456,26/07/2017,2919.0,46.6816748,7.1172635
124195,25/07/2017,978.0,46.7988621,7.708070099999999
124198,25/07/2017,2728.0,54.5259614,15.2551187
124199,25/07/2017,2716.0,46.2180073,6.121692500000001
